Budget Item,Amount GBP,Source Note
Project Management,0,Covered by existing SU staff
University Representatives,0,In-kind contribution from participating universities
Student Focus Groups,2500,Refreshments and incentives
Marketing Materials,3500,Design and production
Launch Events,5000,Across participating universities
Student Ambassador Program,4000,Training and incentives
Technical Integration Support,3000,Specialist consultancy if needed
App Development,0,Provided by EE as sponsorship
User Testing,2000,Equipment and incentives
Contingency,2550,15% contingency stated in PID
TOTAL,22550,PID total
