Stakeholder,Organisation,Impact,Influence,Primary Contribution
Roehampton Student Union,Roehampton University,High,High,Leads project and coordinates participating universities
Other London Universities Student Unions,Various London Universities,High,High,Provide resources and represent student interests
EE Development Team,EE,High,High,Provides technical expertise and app-development resources
University Students,London Universities,High,Medium,End users and testing participants
Student Clubs and Societies,London Universities,High,Medium,Content providers and event organisers
Roehampton Vice Chancellor,Roehampton University,Medium,High,Project sponsor and institutional support
Other Universities Senior Management,Various London Universities,Medium,Medium,Institutional support and resource allocation
EE Director,EE,Medium,High,Corporate champion and facilitator
IT Support Staff,Participating Universities,Medium,Medium,Technical integration and data-protection support
National Union of Students,NUS,Medium,Medium,Strategic guidance and potential national rollout support
University Marketing Departments,Participating Universities,Medium,Low,Promotion within institutions
Student Parents/Guardians,N/A,Low,Low,Indirect stakeholder interest in student activities
